RankDifference,Bookmakers,EloDifference,SurfaceIndex,Winner
-227,0.39384615384615385,158.90675795368588,inf,P1
-11,0.7938095238095237,73.69850645342626,inf,P1
-106,0.5500952380952381,211.8439876573359,inf,P1
-4,0.9429020429544264,83.2598936677839,3.0,P1
-41,0.3,269.85122123446786,2.6666666666666665,P2
-57,0.3956923076923077,170.85513819971789,inf,P1
-3,0.6454736842105263,31.07135984452475,inf,P1
-92,0.3,100.52030102526055,inf,P1
-99,1.1580775911986103,-97.51007318119241,inf,P1
-65,0.32586666666666664,144.9598771698429,0.0,P1
-25,0.509090909090909,150.8897564480817,1.5,P1
-53,0.32586666666666664,216.39332238500492,inf,P2
-20,0.509090909090909,-4.642030026581324,0.5555555555555556,P1
-177,0.22799999999999998,177.19264757801716,inf,P2
-12,0.3956923076923077,181.86707623027155,inf,P1
-31,0.8635,82.59388983929489,0.8888888888888888,P1
-85,0.16923076923076924,232.8125691370226,inf,P1
-302,0.3253333333333333,129.59228409706338,inf,P2
-46,0.509090909090909,167.42186338456509,2.0,P1
-194,1.8178670360110805,-96.47350869787715,1.8,P2
-42,0.509090909090909,184.0737685956708,0.6666666666666666,P1
-28,0.20454545454545456,326.2158562666193,2.0,P1
-95,0.20454545454545456,385.763076334292,inf,P1
-84,0.36742857142857144,226.3511774304891,2.0,P2
-76,0.3956923076923077,125.45958027480924,1.3333333333333333,P2
-40,0.6977777777777778,194.80067335632202,2.6666666666666665,P2
-263,0.3055,237.2741774990127,1.7777777777777777,P1
-10,1.3622291021671828,5.157263894955577,0.96,P2
-29,0.5500952380952381,152.80823717407316,1.0,P1
-51,0.20454545454545456,310.93220654741685,1.25,P1
-61,0.3333333333333333,154.53321473582514,inf,P1
-92,0.25933333333333336,405.3109753067072,2.5714285714285716,P1
-20,0.5500952380952381,46.05785845833748,0.6666666666666666,P1
-47,0.509090909090909,145.365029284304,1.1666666666666667,P2
-21,0.734090909090909,76.72397226718044,0.4166666666666667,P1
-26,0.734090909090909,68.02134966551125,1.6,P2
-131,0.18516666666666667,279.1399950946841,1.5,P1
-58,0.2286,296.6499305129337,3.3333333333333335,P1
-303,0.3333333333333333,103.10978770645715,0.4,P1
-41,0.5500952380952381,156.56025280096833,1.8,P2
-149,0.2286,244.1830263371753,0.5714285714285714,P1
-4,1.1580775911986103,-21.00910170072416,0.5833333333333334,P1
-32,0.7938095238095237,79.33288291950157,0.9142857142857143,P2
-8,0.41015384615384615,97.41292162166087,2.4,P1
-47,0.41015384615384615,259.07042405393713,0.0,P1
-15,0.8635,30.61234239747364,0.9,P1
-7,2.4381095273818456,-107.77317191349789,0.5555555555555556,P2
-10,0.509090909090909,182.79751629799557,1.3333333333333333,P2
-219,0.1542857142857143,291.7018215291837,1.0,P1
-59,0.509090909090909,313.496401667039,1.3125,P1
-158,0.10300000000000001,437.6278273126718,1.6923076923076923,P1
-6,1.3622291021671828,25.942779323095465,0.75,P2
-6,1.8178670360110805,0.7140859541661939,0.8,P1
-68,0.4546666666666667,225.7336088662712,1.25,P1
-91,0.3823529411764706,253.07825668216947,1.125,P2
-2,1.5492498369210699,-24.639433853865057,0.8555555555555555,P2
-19,0.7938095238095237,206.31671437511,1.3333333333333333,P1
-23,1.3622291021671828,-12.270787696294974,0.75,P1
-41,1.0,30.680625929342796,0.8888888888888888,P2
-23,0.5500952380952381,180.65316928120046,1.25,P1
-101,0.2286,373.8577096097756,1.3333333333333333,P1
-104,0.509090909090909,274.6110018903221,1.3333333333333333,P1
-78,0.2286,341.733296164575,1.2857142857142858,P2
-52,0.734090909090909,135.46239351619124,0.9523809523809524,P2
-3,0.6454736842105263,-13.71919410193891,1.0,P1
-14,1.6666666666666667,-16.395904427693495,0.7857142857142857,P2
-10,1.5492498369210699,6.688978967730009,0.9818181818181819,P2
-14,1.6666666666666667,68.82053535670934,0.0,P1
-41,1.0,85.29045535469231,0.5833333333333334,P1
-11,1.5492498369210699,-26.251736216220934,0.0,P2
-20,0.6,-20.625171187369233,0.6666666666666666,P1
-91,0.25933333333333336,232.5085850564733,inf,P2
-27,1.0,35.85887739145005,0.0,P1
-42,1.3622291021671828,-74.05797511864466,0.6857142857142857,P1
-49,0.25933333333333336,199.61231559176167,1.3333333333333335,P2
-29,0.9429020429544264,69.45818006110676,0.75,P1
-519,0.4443333333333333,286.55739605465146,inf,P1
-65,0.32586666666666664,240.80133770136013,inf,P1
-96,0.18516666666666667,389.51729324688404,inf,P2
-93,0.2286,141.01212565450783,inf,P1
-31,0.3956923076923077,95.35946761681157,2.0,P2
-4,1.3622291021671828,-63.281882101528936,0.0,P2
-10,2.4615384615384617,-15.391015808841303,0.0,P2
-4,1.0605555555555555,0.19928590447420902,0.0,P1
-26,0.6982222222222222,50.316965796634804,0.8333333333333334,P1
-49,0.4443333333333333,356.55454348541707,0.0,P1
-15,1.0605555555555555,-33.07428122163469,0.7,P1
-54,0.6,263.4159736090596,inf,P1
-26,0.7938095238095237,-14.065439847893458,0.8571428571428571,P1
-53,0.3956923076923077,294.62845634826726,inf,P2
-7,1.5492498369210699,-49.05533359168567,0.64,P1
-160,0.4443333333333333,213.5277637125157,inf,P1
-11,1.0,-39.99432931377555,inf,P2
-23,0.6982222222222222,-54.40336182254032,1.5,P2
-73,0.20454545454545456,248.44201633840976,inf,P1
-87,0.36742857142857144,143.33389237967253,1.3333333333333333,P1
-21,0.35714285714285715,156.1106685785628,inf,P1
-99,0.6,77.46898918568377,1.0,P2
-49,0.734090909090909,20.15823709857841,1.0,P2
-116,1.5490196078431373,-6.816611912300004,0.6666666666666666,P1
-30,1.0605555555555555,50.26393043756889,1.5,P1
-118,0.3055,320.3542008706222,1.0,P2
-19,0.6,96.15402328841606,0.8571428571428571,P2
-21,1.3622291021671828,-78.7466946550694,0.6349206349206349,P2
-2,1.0,25.50077638534367,1.0,P2
-41,0.7938095238095237,83.6509407224487,1.125,P1
-68,0.4546666666666667,264.0842742839079,1.1904761904761905,P1
-20,1.0605555555555555,-17.609296204435395,1.125,P1
-11,0.6454736842105263,104.35754803669238,1.5,P1
-27,0.36742857142857144,131.58181934720164,2.0,P1
-11,1.1580775911986103,30.842178354567068,0.5238095238095238,P1
-19,0.7938095238095237,58.38937617298757,0.8333333333333334,P1
-7,0.509090909090909,40.458403468792085,2.0000000000000004,P2
-36,0.41015384615384615,117.5219088912213,0.7777777777777778,P1
-33,0.734090909090909,83.41531867268645,0.875,P2
-16,0.734090909090909,-14.785585839535997,0.7333333333333333,P2
-85,0.6454736842105263,117.77088735401912,0.5,P1
-47,0.509090909090909,66.41974115523885,1.3333333333333335,P1
-116,0.36742857142857144,169.83039754902575,1.125,P1
-75,0.509090909090909,149.48294009763367,1.0,P1
-32,0.734090909090909,72.21217083468105,0.96,P2
-7,1.1580775911986103,-41.64780192381045,0.6060606060606061,P2
-13,1.0,104.96883945381865,1.384615384615385,P1
-4,0.6454736842105263,105.87757353545112,0.96,P1
-89,0.509090909090909,185.0521749507518,1.1428571428571428,P1
-138,0.132875,445.54754859931586,inf,P2
-51,0.4744347826086957,177.35964134947267,3.125,P2
-74,0.509090909090909,205.54413998630935,inf,P1
-36,0.8635,86.52779444196017,1.6666666666666665,P2
-27,0.32586666666666664,68.05594510121318,inf,P1
-75,0.4744347826086957,199.80050802664073,2.0,P1
-6,1.0,74.44505097138267,0.0,P1
-41,0.35714285714285715,278.86899138455874,inf,P2
-4,1.0,17.098372915244227,0.8333333333333333,P2
-8,0.7938095238095237,-27.508253464232666,1.0,P1
-2,0.6,58.946031231319694,1.0,P2
-28,0.509090909090909,48.2442344293529,1.2727272727272727,P1
-20,0.6982222222222222,150.4569128347439,0.0,P1
-14,0.8635,82.03438645451001,1.0,P2
-26,0.4744347826086957,211.74157633703203,1.3714285714285714,P2
-29,0.509090909090909,299.13769719938,1.2,P1
-53,0.3956923076923077,242.96425846133093,2.5,P2
-71,1.259748050389922,148.41454356946247,inf,P2
-268,0.132875,150.32165104150977,inf,P1
-6,0.6982222222222222,42.89944324989597,inf,P1
-83,0.8635,59.36610936093189,0.0,P1
-1,1.1580775911986103,12.480046725608872,1.2000000000000002,P2
-36,0.4443333333333333,86.31239808214605,1.1428571428571428,P1
-40,1.0,13.092372671460907,0.625,P2
-45,0.6454736842105263,18.866237219548793,0.7142857142857143,P1
-18,0.8635,8.523773558008543,1.25,P2
-202,1.3622291021671828,-27.30976167554263,0.8333333333333333,P1
-86,0.12423529411764707,429.9683889800922,3.2,P1
-27,0.6454736842105263,72.4122602108655,inf,P2
-342,0.35714285714285715,143.99936587060188,inf,P1
-20,0.7938095238095237,45.98858401569282,1.8461538461538463,P1
-58,0.41015384615384615,120.47058735172868,1.1111111111111112,P1
-74,0.509090909090909,162.71655605300748,1.5,P1
-102,0.6,101.19720261896305,0.857142857142857,P1
-21,0.4546666666666667,69.46491997290514,2.0,P1
-11,1.0,35.3023781759332,1.4999999999999998,P1
-19,0.9429020429544264,-60.95397090165943,0.7832167832167832,P1
-40,0.41015384615384615,105.76837015898877,inf,P1
-87,0.32586666666666664,146.35767297724487,inf,P1
-49,0.4443333333333333,259.37342870413227,1.05,P1
-42,0.4744347826086957,81.10601937054389,1.4285714285714286,P2
-65,0.734090909090909,72.28165909121299,1.0,P2
-46,0.509090909090909,212.55656456557517,1.1428571428571428,P2
-30,0.8635,33.2512213240675,1.05,P2
-111,0.2286,196.03045787549286,inf,P1
-102,0.6982222222222222,-7.180429775748507,inf,P2
-48,0.509090909090909,96.88846194572488,0.625,P1
-27,0.509090909090909,91.38245003300563,inf,P2
-29,0.5500952380952381,55.659723540265986,1.2,P1
-132,0.509090909090909,120.30311432561803,0.3333333333333333,P1
-19,0.25933333333333336,322.2984600999946,1.6363636363636365,P1
-28,0.734090909090909,84.99927715006015,1.1111111111111112,P1
-46,0.41015384615384615,91.8466367802805,0.8333333333333334,P1
-96,0.41015384615384615,261.24422934958557,0.625,P1
-28,0.4546666666666667,80.4493329780787,1.9090909090909092,P2
-17,0.734090909090909,16.219568211590058,1.666666666666667,P2
-174,0.4546666666666667,219.78513305671754,1.7142857142857142,P1
-113,0.11555555555555556,388.94297617165216,inf,P1
-17,0.36742857142857144,114.22362019056118,2.1428571428571423,P1
-8,1.5492498369210699,-32.6290064363252,0.8999999999999999,P1
-19,0.8635,39.122461984849224,0.925925925925926,P2
-10,1.1580775911986103,-38.20414396536603,0.6666666666666666,P1
-79,0.36742857142857144,330.254585057078,1.1666666666666667,P1
-52,0.16923076923076924,308.17718866723453,1.375,P1
-53,1.9642857142857144,-205.70036513594482,1.7142857142857142,P2
-19,0.8635,29.891933756963454,1.0769230769230769,P2
-90,0.3333333333333333,157.5428495915878,1.1904761904761905,P2
-51,0.41015384615384615,136.13971390695224,2.6666666666666665,P1
-37,0.5500952380952381,213.76146865781197,1.0714285714285716,P1
-32,1.6666666666666667,-135.68788678636656,1.3333333333333333,P1
-33,0.2286,315.8364841142268,1.384615384615385,P1
-25,0.734090909090909,41.42730103751296,1.2,P1
-29,0.6454736842105263,30.276283728282806,1.2727272727272727,P1
-96,0.36742857142857144,278.625787743051,1.05,P1
-17,1.0,-15.14276246716895,0.8333333333333334,P1
-26,0.20454545454545456,264.29048110053895,1.4823529411764704,P2
-31,0.25933333333333336,308.60558595752013,1.392857142857143,P1
-36,0.7938095238095237,67.85203095881843,1.0,P1
-147,1.3622291021671828,-90.41787989705313,1.2857142857142856,P2
-22,0.5500952380952381,180.5429253881009,2.4,P1
-14,0.8635,133.2212274642177,0.8333333333333333,P1
-20,1.0,10.250693360996593,inf,P1
-31,0.9429020429544264,82.762390392003,2.5,P2
-90,0.734090909090909,63.797013148205224,1.1111111111111112,P1
-17,1.9642857142857144,-56.62928816765998,0.5,P1
-40,1.6666666666666667,88.95387895821023,0.0,P1
-36,0.6,97.96690319977961,0.8888888888888888,P1
-62,1.3622291021671828,-41.39501533306293,0.5555555555555556,P2
-818,0.4546666666666667,-30.556775766671535,inf,P2
-7,0.7938095238095237,34.71398611397626,inf,P1
-6,0.4546666666666667,33.60513086445508,inf,P2
-15,0.734090909090909,81.59430242431017,2.1875,P1
-11,2.19941348973607,-139.70355527979905,0.0,P2
-72,0.509090909090909,253.01232513858213,0.6818181818181818,P1
-53,0.12352941176470589,319.3457563202817,2.0,P1
-40,0.6982222222222222,86.31852165712826,2.0,P2
-78,0.5500952380952381,162.04466120567236,1.5,P2
-23,0.6982222222222222,94.85951216953117,0.8333333333333334,P1
-40,1.1580775911986103,44.3085101508816,1.111111111111111,P1
-40,0.8635,52.56846124424192,0.0,P2
-9,1.0,57.1925260117016,1.1428571428571428,P2
-11,0.5500952380952381,110.17173141137687,2.5,P1
-117,0.6982222222222222,18.549826674601718,inf,P2
-29,0.6982222222222222,15.32833063109797,0.8,P2
-40,0.3055,173.09343815003922,3.7500000000000013,P1
-83,0.41015384615384615,219.94151425405994,inf,P1
-6,0.5500952380952381,20.275190758805138,inf,P1
-191,0.6,5.00330334879618,inf,P2
-14,0.41015384615384615,74.57802575375013,1.25,P1
-10,0.734090909090909,111.63026675864421,0.8,P1
-5,0.6454736842105263,93.4834342774534,0.8,P2
-79,0.25933333333333336,294.79402332896507,1.4,P1
-41,0.41015384615384615,179.7936060063871,0.6666666666666666,P1
-86,0.4546666666666667,142.27002308934448,2.1818181818181817,P1
-24,1.5492498369210699,2.0841724010997495,0.0,P2
-48,0.15471428571428572,318.19965140707313,1.4666666666666666,P1
-98,0.36742857142857144,227.89230749417288,1.875,P1
-55,0.6454736842105263,104.24176819203853,0.9818181818181817,P2
-147,0.25933333333333336,237.9082178050503,0.9,P1
-36,0.6454736842105263,68.86475025549112,0.8,P1
-24,1.4322087842138767,-21.02459667116341,0.9285714285714285,P1
-48,0.5500952380952381,135.35827666594992,1.6666666666666665,P1
-27,0.6982222222222222,79.44059199860749,1.2857142857142856,P2
-40,0.4546666666666667,116.2686917241042,2.2857142857142856,P2
-44,0.6454736842105263,105.97157374754352,1.5625,P2
-122,0.5500952380952381,213.46331355177063,0.8,P2
-13,1.259748050389922,-1.7184273823572767,0.9285714285714286,P1
-218,0.12352941176470589,262.2642131383584,0.6363636363636364,P1
-11,1.259748050389922,-6.182095998994328,0.9166666666666667,P2
-212,0.25933333333333336,297.97752305621975,2.1538461538461546,P1
-38,1.0,49.9715039177438,1.1111111111111112,P2
-871,0.5500952380952381,55.074528395446805,1.3846153846153846,P2
-79,1.1580775911986103,-33.88444573893753,0.75,P1
-4,1.5492498369210699,-31.286248205123,1.1428571428571428,P2
-29,0.6454736842105263,210.38386200115679,1.1842105263157896,P1
-13,1.259748050389922,-5.964489294690793,0.8928571428571429,P1
